호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2호선,선릉,124,6,4563,6016,10068,37390,18432,100326,27600,246775,26469,193119,28958,81230,38453,54861,45327,50608,53915,55849,62448,49319,76659,42997,106628,41704,159574,46353,253512,50708,127236,32011,77488,18819,74030,15316,62784,13677,19439,8635,37,333,8,7,0,1,0,0
2호선,역삼,142,1,3552,6564,8015,39726,13130,103635,21532,280902,21262,237856,19590,89280,26767,52595,33031,46368,38794,51693,46483,44952,60404,40699,79607,37887,155443,43133,239858,48599,122033,32686,68805,19048,65221,14879,46198,11957,15573,8326,11,33,6,8,0,0,0,0
2호선,강남,168,8,10075,10754,18331,45795,33868,133646,54804,289569,44289,296332,42147,135038,58302,99676,73311,99951,89767,120630,97372,103334,122743,98584,142216,101373,216067,125814,317292,178032,199463,120029,148834,56031,173262,42217,175770,33292,61276,23540,97,125,39,23,1,3,0,0
2호선,교대(법원.검찰청),17,1,2388,6664,10842,24666,21651,53022,30434,136358,24861,124951,23466,60452,28755,47898,31804,44738,37445,51379,45453,48561,50811,43592,56369,42497,86898,51904,131810,64480,63270,41068,46730,22049,50779,18637,44693,16704,14770,10707,29,177,2,8,0,3,0,0
2호선,서초,24,0,1179,4415,6509,18412,12407,44099,20143,110391,21512,83424,16995,36160,20389,25112,20925,21108,25011,23416,27232,21124,33308,18479,37873,18554,62081,20308,94365,20769,42684,13711,26060,8948,25870,7939,17850,7435,4963,4139,4,13,5,4,0,0,0,0
2호선,방배,11,0,2652,3548,8632,12767,20880,25687,28727,68752,23561,41905,17049,21698,17527,18578,19071,19969,21718,21808,22466,20585,25664,21634,30360,22251,41087,28353,64054,36796,27612,26770,19334,17009,19328,15495,17174,15302,6002,8605,11,46,4,6,0,0,0,0
2호선,사당,123,5,11954,3772,22868,28206,65150,39721,91587,60956,66057,47710,41116,39444,37739,42464,44346,44037,46750,44980,47619,45540,48438,54415,54159,70134,65006,99991,85223,149365,58413,106935,51992,62177,56420,56989,55511,54711,26638,35251,61,3254,17,21,0,5,0,0
2호선,낙성대(강감찬),58,10,10896,1977,23151,8860,70864,17373,112337,33825,72253,29888,38801,23781,33050,21116,35765,23674,36125,26588,32781,28324,33670,33280,35606,39067,42031,54220,46278,89568,27569,79062,20661,51607,19472,46021,16217,46387,6794,27090,21,2320,5,26,0,2,0,0
2호선,서울대입구(관악구청),3904,19,27391,2452,39269,13537,113572,27661,170405,59210,109765,58405,60304,46531,54065,42325,59222,46538,60996,53144,58411,53941,62511,59862,67909,71301,75508,96440,85711,160444,51936,137097,42738,82001,43507,75616,41115,71666,17033,45236,34,14062,10,50,0,14,0,0
2호선,봉천,87,0,14778,1531,25535,6454,74160,12273,110989,23471,66300,19063,35652,17740,29431,18612,31356,20705,30889,22714,27168,24769,26694,32770,28696,35808,29008,49675,31735,79217,18638,66042,14829,42118,13261,37944,10527,35562,3935,22432,11,794,3,17,1,1,0,0
2호선,신림,357,30,37958,4676,69706,19787,186562,30436,279951,56301,167023,49396,90969,40709,75991,43388,80603,49362,76641,57764,71124,63856,68757,78967,76193,93716,81266,135725,84279,228967,56735,204694,46456,131544,44278,119965,39329,108270,17971,76922,58,1140,20,51,0,0,0,0
2호선,신대방,142,3,23885,2324,32768,9434,80035,16846,116759,30754,71662,19997,40670,16921,33254,17859,33083,21139,32128,23833,28168,26469,27616,35274,30832,41073,34294,58082,39771,86053,22597,74376,16739,50013,12438,52856,10142,48882,4241,30755,20,264,3,24,0,0,0,0
